event_date,y
2020-11-15,12952
2020-11-16,13421
2020-11-17,13202
2020-11-18,13041
2020-11-19,12663
2020-11-20,11965
2020-11-21,12046
2020-11-22,12885
2020-11-23,13260
2020-11-24,12915
2020-11-25,12649
2020-11-26,12168
2020-11-27,11556
2020-11-28,11385
2020-11-29,12122
2020-11-30,12338
2020-12-01,12553
2020-12-02,12473
2020-12-03,12275
2020-12-04,11594
2020-12-05,11435
2020-12-06,12366
2020-12-07,12654
2020-12-08,12650
2020-12-09,12296
2020-12-10,12245
2020-12-11,11495
2020-12-12,11406
2020-12-13,12098
2020-12-14,12123
2020-12-15,11539
2020-12-16,11238
2020-12-17,11457
2020-12-18,11563
2020-12-19,11564
2020-12-20,12229
2020-12-21,12188
2020-12-22,11952
2020-12-23,11584
2020-12-24,11309
2020-12-25,10705
2020-12-26,9732
2020-12-27,11244
2020-12-28,11362
2020-12-29,10612
2020-12-30,9189
2020-12-31,6711
2021-01-01,7416
2021-01-02,10115
2021-01-03,11512
2021-01-04,12696
2021-01-05,13338
2021-01-06,12677
2021-01-07,12736
2021-01-08,12560
2021-01-09,12401
2021-01-10,12716
2021-01-11,13516
2021-01-12,13053
2021-01-13,12541
2021-01-14,12563
2021-01-15,12043
2021-01-16,11962
2021-01-17,12484
2021-01-18,13517
2021-01-19,13054
2021-01-20,12680
2021-01-21,12673
2021-01-22,11888
2021-01-23,11636
2021-01-24,12046
2021-01-25,12706
2021-01-26,12678
2021-01-27,12648
2021-01-28,12598
2021-01-29,11919
2021-01-30,11759
2021-01-31,12609
2021-02-01,12968
2021-02-02,12987
2021-02-03,12686
2021-02-04,12504
2021-02-05,11874
2021-02-06,11826
2021-02-07,12458
2021-02-08,12979
2021-02-09,12041
2021-02-10,12368
2021-02-11,12275
2021-02-12,11592
2021-02-13,11460
2021-02-14,11859
2021-02-15,12844
2021-02-16,12846
2021-02-17,12623
2021-02-18,12224
2021-02-19,11910
2021-02-20,11726
2021-02-21,12494
2021-02-22,12844
2021-02-23,12076
2021-02-24,12363
2021-02-25,11766
2021-02-26,11380
2021-02-27,11477
2021-02-28,11954
2021-03-01,12113
2021-03-02,12306
2021-03-03,12204
2021-03-04,11941
2021-03-05,10788
2021-03-06,10686
2021-03-07,10674
2021-03-08,9706
2021-03-09,12150
2021-03-10,12309
2021-03-11,12362
2021-03-12,11701
2021-03-13,11971
2021-03-14,12119
2021-03-15,12698
2021-03-16,12679
2021-03-17,12372
2021-03-18,12208
2021-03-19,11276
2021-03-20,11235
2021-03-21,11160
2021-03-22,10709
2021-03-23,12065
2021-03-24,12684
2021-03-25,12661
2021-03-26,12202
2021-03-27,12091
2021-03-28,12801
2021-03-29,13359
2021-03-30,12871
2021-03-31,12854
2021-04-01,12547
2021-04-02,12270
2021-04-03,12150
2021-04-04,12996
2021-04-05,13388
2021-04-06,13122
2021-04-07,12868
2021-04-08,12670
2021-04-09,11884
2021-04-10,11766
2021-04-11,12344
2021-04-12,12900
2021-04-13,12669
2021-04-14,13146
2021-04-15,13314
2021-04-16,13024
2021-04-17,13122
2021-04-18,13816
2021-04-19,14546
2021-04-20,14398
2021-04-21,14507
2021-04-22,14379
2021-04-23,13746
2021-04-24,13499
2021-04-25,14027
2021-04-26,14605
2021-04-27,14144
2021-04-28,14034
2021-04-29,13540
2021-04-30,12982
2021-05-01,12861
2021-05-02,13418
2021-05-03,14252
2021-05-04,13992
2021-05-05,13706
2021-05-06,13042
2021-05-07,12295
2021-05-08,12806
2021-05-09,12476
2021-05-10,14004
2021-05-11,13557
2021-05-12,13321
2021-05-13,13066
2021-05-14,12452
2021-05-15,11990
2021-05-16,12229
2021-05-17,13408
2021-05-18,13011
2021-05-19,13215
2021-05-20,12852
2021-05-21,12006
2021-05-22,11740
2021-05-23,11964
2021-05-24,12848
2021-05-25,12367
2021-05-26,12488
2021-05-27,12364
2021-05-28,11805
2021-05-29,11488
2021-05-30,11721
2021-05-31,12822
2021-06-01,12350
2021-06-02,12409
2021-06-03,12547
2021-06-04,11921
2021-06-05,11590
2021-06-06,11815
2021-06-07,12801
2021-06-08,12985
2021-06-09,12688
2021-06-10,12439
2021-06-11,11990
2021-06-12,11243
2021-06-13,12089
2021-06-14,12948
2021-06-15,12742
2021-06-16,12652
2021-06-17,12176
2021-06-18,11759
2021-06-19,11351
2021-06-20,12191
2021-06-21,13231
2021-06-22,10391
2021-06-23,12880
2021-06-24,12729
2021-06-25,12191
2021-06-26,11719
2021-06-27,12188
2021-06-28,13139
2021-06-29,13174
2021-06-30,12910
2021-07-01,12594
2021-07-02,12202
2021-07-03,11529
2021-07-04,11446
2021-07-05,12257
2021-07-06,12905
2021-07-07,12991
2021-07-08,12894
2021-07-09,12485
2021-07-10,12292
2021-07-11,12365
2021-07-12,13606
2021-07-13,13679
2021-07-14,13541
2021-07-15,13444
2021-07-16,12837
2021-07-17,12333
2021-07-18,12822
2021-07-19,13243
2021-07-20,12699
2021-07-21,13521
2021-07-22,13746
2021-07-23,13055
2021-07-24,12456
2021-07-25,12864
2021-07-26,14019
2021-07-27,13921
2021-07-28,13882
2021-07-29,13703
2021-07-30,12966
2021-07-31,12824
2021-08-01,13201
2021-08-02,14197
2021-08-03,14086
2021-08-04,14111
2021-08-05,13816
2021-08-06,13178
2021-08-07,12995
2021-08-08,13484
2021-08-09,14629
2021-08-10,14489
2021-08-11,14675
2021-08-12,14436
2021-08-13,13144
2021-08-14,13604
2021-08-15,14301
2021-08-16,14632
2021-08-17,14828
2021-08-18,14642
2021-08-19,14460
2021-08-20,13681
2021-08-21,13601
2021-08-22,14345
2021-08-23,15236
2021-08-24,15035
2021-08-25,15057
2021-08-26,14690
2021-08-27,13820
2021-08-28,13592
2021-08-29,14278
2021-08-30,15210
2021-08-31,15402
2021-09-01,15076
2021-09-02,15767
2021-09-03,14883
2021-09-04,14265
2021-09-05,14904
2021-09-06,15901
2021-09-07,15918
2021-09-08,15919
2021-09-09,15791
2021-09-10,14828
2021-09-11,14435
2021-09-12,15217
2021-09-13,16573
2021-09-14,16228
2021-09-15,15748
2021-09-16,15762
2021-09-17,15042
2021-09-18,14524
2021-09-19,15363
2021-09-20,16375
2021-09-21,16282
2021-09-22,16070
2021-09-23,15779
2021-09-24,15085
2021-09-25,14377
2021-09-26,15183
2021-09-27,16517
2021-09-28,16367
2021-09-29,16206
2021-09-30,15816
2021-10-01,14895
2021-10-02,14738
2021-10-03,15484
2021-10-04,16971
2021-10-05,16899
2021-10-06,16911
2021-10-07,16571
2021-10-08,15282
2021-10-09,14885
2021-10-10,15918
2021-10-11,17402
2021-10-12,17352
2021-10-13,17122
2021-10-14,16763
2021-10-15,15486
2021-10-16,15167
2021-10-17,15881
2021-10-18,17454
2021-10-19,17342
2021-10-20,17318
2021-10-21,17143
2021-10-22,16435
2021-10-23,15678
2021-10-24,16447
2021-10-25,17859
2021-10-26,17887
2021-10-27,17649
2021-10-28,17292
2021-10-29,16142
2021-10-30,15619
2021-10-31,16383
2021-11-01,17729
2021-11-02,17918
2021-11-03,17916
2021-11-04,17629
2021-11-05,16278
2021-11-06,16161
2021-11-07,17058
2021-11-08,18889
2021-11-09,18753
2021-11-10,17948
2021-11-11,17501
2021-11-12,16577
2021-11-13,16159
2021-11-14,17033
2021-11-15,18406
2021-11-16,18299
2021-11-17,17177
2021-11-18,16773
2021-11-19,15934
2021-11-20,15752
2021-11-21,16556
2021-11-22,17529
2021-11-23,17258
2021-11-24,16772
2021-11-25,16552
2021-11-26,15203
2021-11-27,15270
2021-11-28,16040
2021-11-29,17172
2021-11-30,16558
2021-12-01,16918
2021-12-01,16918
2021-12-02,17040
2021-12-03,16041
2021-12-04,15689
2021-12-05,16751
2021-12-06,17414
2021-12-07,17079
2021-12-08,16989
2021-12-09,16744
2021-12-10,15787
2021-12-11,15458
2021-12-12,16498
2021-12-13,17469
2021-12-14,16898
2021-12-15,15854
2021-12-16,14811
2021-12-17,15101
2021-12-18,14989
2021-12-19,15765
2021-12-20,16857
2021-12-21,16925
2021-12-22,16644
2021-12-23,16185
2021-12-24,15062
2021-12-25,14684
2021-12-26,15243
2021-12-27,15789
2021-12-28,15097
2021-12-29,13955
2021-12-30,12539
2021-12-31,9539
2022-01-01,9772
2022-01-02,13709
2022-01-03,15046
2022-01-04,14441
2022-01-05,4945
2022-01-06,324
2022-01-07,51
2022-01-08,795
2022-01-09,2643
2022-01-10,7611
2022-01-11,14051
2022-01-12,14835
2022-01-13,14727
2022-01-14,14771
2022-01-15,14738
2022-01-16,15317
2022-01-17,15896
2022-01-18,16053
2022-01-19,15360
2022-01-20,15261
2022-01-21,14682
2022-01-22,14528
2022-01-23,14902
2022-01-24,16180
2022-01-25,15485
2022-01-26,15755
2022-01-27,15412
2022-01-28,14862
2022-01-29,14209
2022-01-30,14702
2022-01-31,15399
2022-02-01,15402
2022-02-02,15409
2022-02-03,15215
2022-02-04,14645
2022-02-05,14230
2022-02-06,15123
2022-02-07,15812
2022-02-08,15496
2022-02-09,15236
2022-02-10,14876
2022-02-11,14041
2022-02-12,13924
2022-02-13,14786
2022-02-14,15081
2022-02-15,15055
2022-02-16,15426
2022-02-17,15304
2022-02-18,14678
2022-02-19,14286
2022-02-20,15074
2022-02-21,16039
2022-02-22,15288
2022-02-23,15270
2022-02-24,14398
2022-02-25,13603
2022-02-26,13780
2022-02-27,14428
2022-02-28,15615
2022-03-01,15965
2022-03-02,16214
2022-03-03,16209
2022-03-04,15493
2022-03-05,14629
2022-03-06,14840
2022-03-07,14871
2022-03-08,13185
2022-03-09,16468
2022-03-10,16755
2022-03-11,16414
2022-03-12,16362
2022-03-13,16859
2022-03-14,17446
2022-03-15,17464
2022-03-16,17096
2022-03-17,16604
2022-03-18,15376
2022-03-19,14924
2022-03-20,15043
2022-03-23,15811
2022-03-24,16365
2022-03-25,15676
2022-03-26,15753
2022-03-27,16304
2022-03-28,16571
2022-03-29,16169
2022-03-30,15956
2022-03-31,15652
2022-04-01,14615
2022-04-02,14624
2022-04-03,15822
2022-04-04,16571
2022-04-05,16661
2022-04-06,16819
2022-04-07,16649
2022-04-08,15788
2022-04-09,15661
2022-04-10,16321
2022-04-11,17510
2022-04-12,17344
2022-04-13,17039
2022-04-14,16769
2022-04-15,15805
2022-04-16,15673
2022-04-17,16205
2022-04-18,17338
2022-04-19,17104
2022-04-20,16755
2022-04-21,16544
2022-04-22,16046
2022-04-23,15902
2022-04-24,16469
2022-04-25,17221
2022-04-26,16819
2022-04-27,16344
2022-04-28,15995
2022-04-29,15415
2022-04-30,15012
2022-05-01,15004
2022-05-02,15399
2022-05-03,16004
2022-05-04,16105
2022-05-05,15242
2022-05-05,15242
2022-05-06,13992
2022-05-07,12471
2022-05-08,12536
2022-05-09,13050
2022-05-10,15542
2022-05-11,15233
2022-05-12,14984
2022-05-13,14182
2022-05-14,13672
2022-05-15,14289
2022-05-16,15671
2022-05-17,15372
2022-05-18,15221
2022-05-19,14701
2022-05-20,14040
2022-05-21,13368
2022-05-22,14204
2022-05-23,15462
2022-05-24,14748
2022-05-25,14152
2022-05-26,14109
2022-05-27,13440
2022-05-28,12819
2022-05-29,13317
2022-05-30,14651
2022-05-31,14686
2022-06-01,14012
2022-06-02,14271
2022-06-03,12415
2022-06-04,13091
2022-06-05,13380
2022-06-06,14862
2022-06-07,14729
2022-06-08,14498
2022-06-09,14318
2022-06-10,13247
2022-06-11,12741
2022-06-12,13491
2022-06-13,14823
2022-06-14,14797
2022-06-15,14993
2022-06-16,14334
2022-06-17,13643
2022-06-18,12946
2022-06-19,13318
2022-06-20,15012
2022-06-21,15636
2022-06-22,15234
2022-06-23,14836
2022-06-24,13892
2022-06-25,13182
2022-06-26,13419
2022-06-27,15230
2022-06-28,15475
2022-06-29,15426
2022-06-30,14989
2022-07-01,14069
2022-07-02,13722
2022-07-03,14298
2022-07-04,15767
2022-07-05,10000000
2022-07-06,15341
2022-07-07,15336
2022-07-08,14159
2022-07-09,13258
2022-07-10,14499
2022-07-11,15832
2022-07-12,16242
2022-07-13,16009
2022-07-14,15688
2022-07-15,14745
2022-07-16,13960
2022-07-17,14655
2022-07-18,16349
2022-07-19,16721
2022-07-20,16381
2022-07-21,15996
2022-07-22,15285
2022-07-23,14652
2022-07-24,15103
2022-07-25,16538
2022-07-26,16604
2022-07-27,16658
2022-07-28,16340
2022-07-29,15496
2022-07-30,14676
2022-07-31,14761
2022-08-01,16041
2022-08-02,15924
2022-08-03,15794
2022-08-04,15452
2022-08-05,14352
2022-08-06,13981
2022-08-07,14709
2022-08-08,15891
2022-08-09,15954
2022-08-10,15786
2022-08-11,15624
2022-08-12,14725
2022-08-13,14101
2022-08-14,14675
2022-08-15,16381
2022-08-16,16638
2022-08-17,16597
2022-08-18,16634
2022-08-19,15671
2022-08-20,15482
2022-08-21,15810
2022-08-22,17504
2022-08-23,17575
2022-08-24,17349
2022-08-25,17028
2022-08-26,16133
2022-08-27,15364
2022-08-28,15292
2022-08-29,16426
2022-08-30,17014
2022-08-31,17331
2022-09-01,17436
2022-09-02,17006
2022-09-03,16174
2022-09-04,16993
2022-09-05,18249
2022-09-06,18077
2022-09-07,17714
2022-09-08,17666
2022-09-09,16566
2022-09-10,15945
2022-09-11,16791
2022-09-12,18352
2022-09-13,18385
2022-09-14,17740
2022-09-15,17435
2022-09-16,16473
2022-09-17,15416
2022-09-18,15934
2022-09-19,18342
2022-09-20,18046
2022-09-21,17655
2022-09-22,17093
2022-09-23,15781
2022-09-24,15344
2022-09-25,15988
2022-09-26,17684
2022-09-27,17430
2022-09-28,17374
2022-09-29,17254
2022-09-30,16011
2022-10-01,15885
2022-10-02,16884
2022-10-03,18365
2022-10-04,18764
2022-10-05,18184
2022-10-06,17736
2022-10-07,16504
2022-10-08,16059
2022-10-09,16922
2022-10-10,18209
2022-10-11,18166
2022-10-12,18099
2022-10-13,17754
2022-10-14,16842
2022-10-15,16179
2022-10-16,17048
2022-10-17,18856
2022-10-18,18962
2022-10-19,18813
2022-10-20,18194
2022-10-21,17228
2022-10-22,16376
2022-10-23,16387
2022-10-24,17668
2022-10-25,18269
2022-10-26,19176
2022-10-27,18787
2022-10-28,17994
2022-10-29,17138
2022-10-30,18139
2022-10-31,18916
2022-11-01,18593
2022-11-02,18600
2022-11-03,18604
2022-11-04,17497
2022-11-05,16792
2022-11-06,17904
2022-11-07,19805
2022-11-08,19712
2022-11-09,19512
2022-11-10,18725
2022-11-11,17651
2022-11-12,17150
2022-11-13,18116
2022-11-14,19466
2022-11-15,19424
2022-11-16,19646
2022-11-17,19750
2022-11-18,18006
2022-11-19,17683
2022-11-20,17887
2022-11-21,19282
2022-11-22,19109
2022-11-23,18888
2022-11-24,18835
2022-11-25,17370
2022-11-26,16679
2022-11-27,17391
2022-11-28,19226
2022-11-29,19405
2022-11-30,19002
2022-12-01,18378
2022-12-02,17511
2022-12-03,17641
2022-12-04,18410
2022-12-05,19104
2022-12-06,18759
2022-12-07,18860
2022-12-08,18518
2022-12-09,16971
2022-12-10,16796
2022-12-11,18451
2022-12-12,18846
2022-12-13,18755
2022-12-14,18248
2022-12-15,17177
2022-12-16,16434
2022-12-17,16612
2022-12-18,16162
2022-12-19,17720
2022-12-20,17988
2022-12-21,17572
2022-12-22,17282
2022-12-23,16020
2022-12-24,15766
2022-12-25,16374
2022-12-26,17304
2022-12-27,17042
2022-12-28,16195
2022-12-29,14966
2022-12-30,13070
2022-12-31,9991
